MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59395.496158,-20.965,1.149,-15,17,o,0,1.16,331.10012,-23.57731,5739.26,8731.31,2.06,2.02,-79.4,-0.404,19.06,19.62,01a59395o0554o
59395.498927,21.543,1.59,9,14,o,0,1.25,331.10012,-23.57731,5720.46,8693.42,2.17,1.93,-6.8,-0.392,19.09,19.63,01a59395o0560o
59395.506337,21.941,2.406,6,15,o,0,1.09,331.10012,-23.57731,5779.71,8772.42,2.21,2.05,-21.0,-0.396,19.07,19.65,01a59395o0576o
59395.516529,-20.947,1.137,-15,17,o,0,0.65,331.10012,-23.57731,5802.45,8655.85,2.27,2.01,-5.9,-0.391,19.07,19.69,01a59395o0598o
59399.54249,21.04,0.628,14,9,o,0,1.31,331.10012,-23.57731,5754.0,8731.34,2.22,2.03,-7.6,-0.404,19.54,20.7,01a59399o0653o
59399.544331,20.389,0.383,25,10,o,0,1.43,331.10012,-23.57731,5733.5,8693.06,2.41,1.92,-2.8,-0.393,19.51,20.7,01a59399o0657o
59399.547091,-21.462,0.907,-9,9,o,0,1.43,331.10012,-23.57731,5793.91,8770.99,2.1,2.0,-14.0,-0.405,19.59,20.71,01a59399o0663o
59399.552154,-25.847,49.5,0,8,o,0,1.51,331.10012,-23.57731,5813.84,8654.45,2.08,1.93,-11.3,-0.395,19.57,20.69,01a59399o0674o
59403.508523,20.955,0.72,15,11,o,0,1.93,331.10012,-23.57731,6339.37,4856.88,1.97,1.92,-50.6,-0.41,19.17,20.2,01a59403o0581o
59403.511748,-22.583,4.4,-3,15,o,0,1.04,331.10012,-23.57731,6320.87,4818.57,2.06,2.01,-15.3,-0.399,19.14,20.21,01a59403o0588o
59403.514515,-20.974,0.788,-15,12,o,0,1.3,331.10012,-23.57731,6378.72,4895.3,1.99,1.91,-18.9,-0.4,19.28,20.32,01a59403o0594o
59403.527746,20.774,0.531,18,9,o,0,1.15,331.10012,-23.57731,6402.44,4778.04,2.02,2.01,-20.0,-0.405,19.62,20.76,01a59403o0622o
59405.561592,-20.105,0.421,-33,14,c,0,1.24,331.10012,-23.57731,9818.91,10477.87,2.82,2.8,23.1,-0.366,19.63,21.44,02a59405o0590c
59405.564809,-21.969,1.636,-6,10,c,0,1.27,331.10012,-23.57731,9798.19,10439.45,2.82,2.78,22.0,-0.373,19.62,21.45,02a59405o0597c
59405.571745,18.22,0.788,187,147,c,0,0.39,331.10012,-23.57731,9859.7,10518.93,2.83,2.79,65.8,-0.376,19.62,21.39,02a59405o0612c
59405.574031,-20.761,0.459,-18,8,c,0,1.34,331.10012,-23.57731,1338.0,245.57,2.48,2.19,-61.5,-0.417,19.6,21.42,02a59405o0617c
59405.577233,-21.873,1.408,-6,9,c,0,1.13,331.10012,-23.57731,1319.89,206.69,2.52,2.19,-59.8,-0.416,19.67,21.45,02a59405o0624c
59405.583226,-22.554,2.185,-4,8,c,0,1.42,331.10012,-23.57731,1379.6,286.9,2.44,2.19,-68.5,-0.42,19.66,21.45,02a59405o0637c
59405.583683,-21.622,1.222,-8,10,c,0,1.04,331.10012,-23.57731,9882.26,10400.44,2.86,2.77,-82.2,-0.372,19.66,21.44,02a59405o0638c
59405.611548,20.51,0.674,23,15,c,0,1.15,331.10012,-23.57731,1400.31,165.77,2.5,2.21,-64.0,-0.408,18.82,20.67,02a59405o0698c
59407.5142,-22.788,6.933,-3,19,o,0,1.28,331.10012,-23.57731,6344.32,4853.89,2.34,1.98,-6.4,-0.37,18.83,19.9,01a59407o0326o
59407.518375,19.873,1.909,41,78,o,0,1.13,331.10012,-23.57731,6326.08,4816.64,2.15,1.95,-5.9,-0.382,17.26,18.3,01a59407o0335o
59409.49552,20.105,1.042,33,34,c,0,1.28,331.10012,-23.57731,9226.94,10314.77,3.02,2.8,7.7,-0.389,18.08,20.33,02a59409o0547c
59409.497808,19.968,1.057,37,40,c,0,0.96,331.10012,-23.57731,9247.34,10354.8,2.79,2.51,4.8,-0.415,18.0,20.1,02a59409o0552c
59409.500553,19.792,1.45,44,64,c,0,0.78,331.10012,-23.57731,9188.77,10274.94,3.23,2.84,4.7,-0.41,17.61,19.85,02a59409o0558c
59409.505584,19.01,0.618,90,56,c,0,1.61,331.10012,-23.57731,9169.87,10392.08,3.54,3.1,14.5,-0.369,17.46,19.8,02a59409o0569c
59411.512718,20.836,0.646,17,11,o,0,1.25,331.10012,-23.57731,7398.32,471.85,2.88,2.19,-0.7,-0.391,19.5,20.93,01a59411o0592o
59411.517852,22.981,4.19,2,10,o,0,1.1,331.10012,-23.57731,7378.96,432.65,2.43,2.14,-7.5,-0.392,19.6,20.92,01a59411o0603o
59411.519695,21.035,0.736,14,10,o,0,1.05,331.10012,-23.57731,7436.35,509.93,2.99,2.02,-1.5,-0.378,19.52,20.91,01a59411o0607o
59411.524803,-24.17,13.556,-1,11,o,0,0.69,331.10012,-23.57731,7456.17,392.26,2.05,1.94,-33.3,-0.407,19.75,20.92,01a59411o0618o
59413.541606,20.749,0.531,18,10,c,0,1.43,331.10012,-23.57731,1461.69,8408.12,2.58,2.53,-53.1,-0.416,19.51,21.32,02a59413o0638c
59415.451877,19.811,0.395,43,17,o,0,1.07,331.10012,-23.57731,7394.8,472.31,2.24,2.1,-19.1,-0.393,19.16,19.71,01a59415o0464o
59415.45372,19.015,0.177,90,16,o,0,1.21,331.10012,-23.57731,7377.13,433.55,2.26,2.09,-20.8,-0.391,19.11,19.69,01a59415o0468o
59415.456525,20.093,0.546,33,18,o,0,0.97,331.10012,-23.57731,7433.25,510.85,2.35,2.17,-22.6,-0.396,18.91,19.6,01a59415o0474o
59415.462048,20.249,0.624,29,18,o,0,0.9,331.10012,-23.57731,7453.25,392.66,2.24,2.11,-54.9,-0.409,19.14,19.69,01a59415o0486o
59423.451032,18.334,0.095,168,16,o,0,1.99,331.10012,-23.57731,2293.77,6502.66,2.64,2.52,-78.6,-0.38,18.87,19.61,01a59423o0164o
59423.453795,18.142,0.084,201,17,o,0,1.57,331.10012,-23.57731,2275.76,6464.3,2.57,2.5,-16.9,-0.375,18.9,19.61,01a59423o0170o
59423.489314,18.197,0.107,191,20,o,0,0.57,331.10012,-23.57731,2338.92,6540.61,2.23,2.06,-12.7,-0.41,19.01,19.62,01a59423o0246o
59423.494843,18.46,0.102,150,15,o,0,0.93,331.10012,-23.57731,2358.13,6425.01,2.07,1.96,-76.7,-0.416,19.1,19.61,01a59423o0258o
59425.459058,18.251,0.09,182,16,o,0,0.95,331.10012,-23.57731,7637.68,7939.77,2.15,2.04,63.7,-0.436,19.33,20.12,02a59425o0476o
59425.460885,18.281,0.081,177,14,o,0,1.37,331.10012,-23.57731,7655.31,7978.55,2.19,2.02,42.8,-0.433,19.32,20.11,02a59425o0480o
59425.486178,18.267,0.094,179,17,o,0,0.9,331.10012,-23.57731,7595.25,7900.99,2.16,2.02,48.6,-0.438,19.33,20.07,02a59425o0534o
59425.490082,18.251,0.083,182,15,o,0,1.14,331.10012,-23.57731,7578.46,8020.05,2.13,2.03,53.9,-0.438,19.33,20.06,02a59425o0542o
59427.456192,18.173,0.063,195,12,o,0,0.77,331.10012,-23.57731,1624.92,10392.99,2.12,1.9,-23.4,-0.454,19.49,20.6,01a59427o0474o
59427.456653,18.284,0.075,176,13,o,0,0.77,331.10012,-23.57731,3253.18,189.16,2.35,2.05,7.8,-0.419,19.47,20.65,01a59427o0475o
59427.458036,18.248,0.061,182,11,o,0,1.13,331.10012,-23.57731,1603.15,10353.63,1.91,1.7,-65.9,-0.472,19.57,20.61,01a59427o0478o
59427.458496,18.061,0.054,216,12,o,0,1.27,331.10012,-23.57731,3233.09,150.28,2.02,1.89,18.9,-0.442,19.63,20.66,01a59427o0479o
59427.460795,18.175,0.061,195,12,o,0,0.99,331.10012,-23.57731,1665.02,10434.22,1.92,1.74,-61.5,-0.47,19.56,20.62,01a59427o0484o
59427.461254,18.283,0.061,176,11,o,0,1.27,331.10012,-23.57731,3291.78,230.45,1.96,1.85,18.4,-0.435,19.63,20.67,01a59427o0485o
59427.46586,18.295,0.063,175,11,o,0,1.09,331.10012,-23.57731,1686.75,10316.93,1.98,1.77,-60.1,-0.457,19.56,20.62,01a59427o0495o
59427.468621,18.138,0.054,202,11,o,0,1.97,331.10012,-23.57731,3310.46,113.64,1.95,1.84,16.1,-0.432,19.63,20.65,01a59427o0501o
59429.464711,18.189,0.054,192,10,o,0,1.86,331.10012,-23.57731,228.31,3998.16,2.23,1.84,-58.0,-0.412,19.54,20.63,02a59429o0497o
59429.466553,18.178,0.06,194,12,o,0,1.28,331.10012,-23.57731,246.16,4039.4,2.04,1.92,-40.6,-0.407,19.5,20.64,02a59429o0501o
59429.474812,18.125,0.06,204,12,o,0,0.68,331.10012,-23.57731,187.56,3960.28,2.01,1.9,-39.3,-0.402,19.54,20.65,02a59429o0519o
59429.489721,18.159,0.065,198,13,o,0,1.11,331.10012,-23.57731,316.82,6542.71,2.32,2.28,-57.5,-0.405,19.34,20.6,02a59429o0551o
59429.492922,18.068,0.066,215,14,o,0,1.02,331.10012,-23.57731,297.49,6502.11,2.31,2.2,-50.7,-0.403,19.35,20.6,02a59429o0558o
59429.494752,18.161,0.074,198,15,o,0,0.73,331.10012,-23.57731,10398.16,6468.1,2.38,2.31,-77.5,-0.441,19.47,20.62,02a59429o0562o
59429.498443,18.171,0.065,196,13,o,0,0.98,331.10012,-23.57731,358.41,6585.69,2.12,1.98,-61.3,-0.435,19.44,20.61,02a59429o0570o
59429.529527,18.364,0.077,164,13,o,0,1.26,331.10012,-23.57731,382.75,6469.54,2.21,2.16,83.3,-0.399,19.36,20.53,02a59429o0637o
59431.441052,17.972,0.039,235,9,c,0,1.63,331.10012,-23.57731,1621.68,10387.0,2.38,2.17,-29.5,-0.418,19.72,21.53,01a59431o0451c
59431.443815,17.996,0.042,230,10,c,0,1.16,331.10012,-23.57731,1601.95,10348.15,2.5,2.19,-22.6,-0.395,19.7,21.54,01a59431o0457c
59431.444734,18.012,0.038,227,8,c,0,2.12,331.10012,-23.57731,3249.94,189.51,2.66,2.21,7.8,-0.391,19.72,21.56,01a59431o0459c
59431.446577,17.942,0.043,242,10,c,0,1.61,331.10012,-23.57731,3230.3,150.03,3.05,2.39,3.6,-0.371,19.59,21.57,01a59431o0463c
59431.447037,17.983,0.043,233,10,c,0,1.58,331.10012,-23.57731,1660.98,10426.87,2.72,2.36,-15.9,-0.39,19.66,21.53,01a59431o0464c
59431.450725,17.952,0.037,239,9,c,0,1.59,331.10012,-23.57731,3286.69,228.71,2.76,2.32,10.5,-0.381,19.69,21.56,01a59431o0472c
59431.453487,18.003,0.044,228,10,c,0,1.12,331.10012,-23.57731,1682.79,10309.92,2.48,2.27,-39.0,-0.394,19.71,21.54,01a59431o0478c
59431.455793,18.008,0.057,227,13,c,0,1.33,331.10012,-23.57731,3305.88,112.49,2.7,2.61,46.9,-0.384,19.63,21.57,01a59431o0483c
59433.440045,18.216,0.076,188,14,o,0,0.83,331.10012,-23.57731,10242.4,4004.34,2.33,1.86,-65.4,-0.455,19.47,20.39,02a59433o0449o
59433.444185,18.215,0.074,188,14,o,0,0.9,331.10012,-23.57731,10258.11,4047.75,2.17,1.91,-58.6,-0.444,19.43,20.42,02a59433o0458o
59433.450625,18.209,0.074,189,14,o,0,1.16,331.10012,-23.57731,10199.84,3969.87,2.25,1.92,-59.5,-0.451,19.45,20.44,02a59433o0472o
59433.456113,18.327,0.089,170,15,o,0,0.87,331.10012,-23.57731,10179.45,4079.09,2.22,1.93,-61.0,-0.454,19.46,20.49,02a59433o0484o
59433.4584,18.202,0.06,190,12,o,0,1.15,331.10012,-23.57731,216.43,3997.15,1.97,1.85,5.9,-0.419,19.49,20.51,02a59433o0489o
59433.46023,18.217,0.067,188,12,o,0,0.89,331.10012,-23.57731,236.14,4035.59,2.06,1.97,-3.1,-0.402,19.45,20.51,02a59433o0493o
59433.470315,18.153,0.062,199,12,o,0,0.88,331.10012,-23.57731,177.26,3959.47,2.07,1.91,4.6,-0.408,19.43,20.55,02a59433o0514o
59433.47816,18.206,0.056,190,11,o,0,1.64,331.10012,-23.57731,158.63,4074.58,2.01,1.94,-24.1,-0.395,19.5,20.59,02a59433o0531o
