MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59471.488827,20.64,1.055,20,21,o,0,1.19,74.18359,-16.64878,6679.13,7702.53,2.93,2.87,-45.0,-0.46,18.82,20.05,01a59471o0620o
59471.496694,-21.516,1.767,-9,16,o,0,1.92,74.18359,-16.64878,6659.4,7662.86,2.94,2.83,34.5,-0.434,18.96,20.16,01a59471o0637o
59471.502691,20.165,0.552,31,17,o,0,1.28,74.18359,-16.64878,6720.66,7740.03,2.83,2.82,17.8,-0.45,19.0,20.25,01a59471o0650o
59471.516872,20.134,0.609,32,20,o,0,1.09,74.18359,-16.64878,6746.38,7623.97,3.52,3.39,-86.6,-0.399,18.81,20.37,01a59471o0680o
59474.60527,-21.149,0.975,-13,12,o,0,2.82,74.18359,-16.64878,4009.33,4757.69,2.19,1.82,34.5,-0.439,19.47,20.5,02a59474o0623o
59474.622638,-22.602,3.516,-3,12,o,0,2.89,74.18359,-16.64878,4029.53,4794.96,2.22,1.88,32.8,-0.437,19.46,20.52,02a59474o0660o
59474.625903,20.043,0.306,35,11,o,0,2.67,74.18359,-16.64878,3972.08,4716.9,2.18,1.83,33.1,-0.441,19.45,20.48,02a59474o0667o
59474.630537,19.715,0.25,47,12,o,0,3.56,74.18359,-16.64878,3952.57,4832.6,2.21,1.87,32.6,-0.437,19.42,20.42,02a59474o0677o
59477.552076,-20.757,1.081,-18,20,o,0,2.16,74.18359,-16.64878,3998.86,4760.88,2.63,2.02,33.8,-0.41,18.6,19.02,02a59477o0746o
59477.555279,-18.251,0.136,-182,25,o,0,380.82,74.18359,-16.64878,4019.98,4799.9,2.36,1.91,30.0,-0.435,18.69,19.02,02a59477o0753o
59477.560817,20.019,2.051,36,73,o,0,0.15,74.18359,-16.64878,3962.41,4722.51,2.12,1.86,27.1,-0.438,18.73,19.04,02a59477o0765o
59477.570908,18.81,0.533,109,58,o,0,0.92,74.18359,-16.64878,3940.7,4837.82,2.74,2.07,33.9,-0.404,17.17,17.63,02a59477o0787o
59478.508604,-20.359,0.978,-26,26,o,0,1.84,74.18359,-16.64878,4003.79,4762.5,2.36,1.89,33.7,-0.434,18.44,18.63,02a59478o0632o
59478.511812,-20.869,1.795,-16,29,o,0,1.33,74.18359,-16.64878,4022.43,4800.93,2.46,1.9,35.0,-0.425,18.49,18.66,02a59478o0639o
59478.518266,-19.393,0.436,-64,28,o,0,1.52,74.18359,-16.64878,3962.93,4722.85,2.38,1.84,35.5,-0.437,18.43,18.61,02a59478o0653o
59478.529287,-21.611,3.141,-8,26,o,0,1.81,74.18359,-16.64878,3942.02,4837.93,2.41,1.83,35.6,-0.43,18.49,18.72,02a59478o0677o
59479.551745,22.608,7.765,3,26,o,0,1.48,74.18359,-16.64878,4716.4,1428.31,2.84,2.83,-18.4,-0.469,18.56,19.33,01a59479o0747o
59479.555892,-19.577,0.533,-54,29,o,0,1.11,74.18359,-16.64878,4695.55,1389.79,2.87,2.84,-69.4,-0.468,18.58,19.32,01a59479o0756o
59479.561429,-19.022,0.314,-89,28,o,0,0.92,74.18359,-16.64878,4755.08,1467.2,2.68,2.59,-34.0,-0.504,18.64,19.33,01a59479o0768o
59479.573741,21.983,5.214,6,30,o,0,1.02,74.18359,-16.64878,4776.09,1350.06,3.05,2.95,37.2,-0.442,18.53,19.37,01a59479o0794o
59480.555856,20.739,3.484,18,64,o,0,1.24,74.18359,-16.64878,822.9,8053.89,3.71,3.42,-55.1,-0.358,18.11,19.09,01a59480o0771o
59480.557697,-19.996,1.089,-36,40,o,0,1.13,74.18359,-16.64878,803.14,8015.86,4.07,3.77,-49.5,-0.344,18.2,19.35,01a59480o0775o
59480.560925,19.059,1.347,86,116,o,0,1.0,74.18359,-16.64878,863.06,8093.43,3.44,3.22,-44.4,-0.392,17.64,18.39,01a59480o0782o
59480.569232,17.793,1.728,277,479,o,0,1.12,74.18359,-16.64878,884.32,7978.53,3.34,3.19,-53.7,-0.415,16.49,17.04,01a59480o0800o
59481.563053,21.311,1.828,11,20,o,0,1.44,74.18359,-16.64878,4002.32,4760.21,2.45,2.03,32.4,-0.423,18.84,19.42,02a59481o0789o
59481.566263,-22.206,4.086,-5,20,o,0,1.11,74.18359,-16.64878,4022.05,4798.74,2.54,2.11,35.9,-0.43,18.8,19.43,02a59481o0796o
59481.572148,-20.568,1.024,-22,22,o,0,1.19,74.18359,-16.64878,3963.28,4723.13,2.8,2.49,35.0,-0.395,18.69,19.46,02a59481o0808o
59481.582759,-20.859,1.241,-16,20,o,0,1.33,74.18359,-16.64878,3943.14,4838.6,2.75,2.16,32.6,-0.415,18.83,19.5,02a59481o0831o
59485.563924,-21.19,1.221,-12,15,o,0,1.93,74.18359,-16.64878,5616.86,7181.31,2.84,2.29,34.9,-0.395,19.15,20.18,02a59485o0793o
59485.567126,-21.475,1.849,-9,17,o,0,1.43,74.18359,-16.64878,5637.07,7218.67,2.85,2.4,34.0,-0.436,19.12,20.19,02a59485o0800o
59485.571281,-20.155,0.452,-32,14,o,0,1.43,74.18359,-16.64878,5578.73,7141.99,2.79,2.35,32.7,-0.391,19.13,20.19,02a59485o0809o
59485.58685,20.548,0.722,22,16,o,0,1.32,74.18359,-16.64878,5560.92,7258.36,2.76,2.28,34.3,-0.394,19.16,20.2,02a59485o0842o
59486.603532,19.874,0.342,41,14,o,0,1.77,74.18359,-16.64878,5622.46,7183.88,2.49,2.09,31.7,-0.415,19.35,20.39,02a59486o0880o
59486.609154,-23.492,9.0,-2,13,o,0,1.69,74.18359,-16.64878,5641.85,7222.81,2.53,2.12,33.3,-0.411,19.29,20.38,02a59486o0892o
59486.640889,-23.465,12.4,-2,18,o,0,1.73,74.18359,-16.64878,4990.83,3409.42,2.61,2.27,41.2,-0.414,18.9,19.6,02a59486o0960o
59486.644209,-19.766,0.697,-45,31,o,0,1.02,74.18359,-16.64878,5009.1,3293.54,2.67,2.19,41.0,-0.411,18.42,18.81,02a59486o0967o
59487.530044,22.286,3.444,4,15,o,0,1.54,74.18359,-16.64878,879.43,8077.9,2.78,2.46,-48.3,-0.469,19.19,20.39,01a59487o0552o
59487.533173,22.154,3.0,5,15,o,0,1.64,74.18359,-16.64878,857.44,8038.29,2.94,2.58,-44.4,-0.451,19.17,20.41,01a59487o0558o
59487.538709,-22.71,5.278,-3,16,o,0,2.29,74.18359,-16.64878,917.18,8116.45,2.81,2.46,-48.6,-0.474,19.17,20.4,01a59487o0570o
59487.548882,21.998,2.471,6,14,o,0,1.5,74.18359,-16.64878,938.11,8000.36,2.79,2.62,-58.4,-0.446,19.17,20.45,01a59487o0592o
59488.604506,19.451,0.274,60,16,o,0,1.65,74.18359,-16.64878,9111.84,3593.7,2.89,2.75,-68.2,-0.474,19.17,20.44,01a59488o0855o
59488.623118,-20.933,0.907,-15,14,o,0,1.83,74.18359,-16.64878,1454.23,7046.66,3.08,2.87,-54.0,-0.447,19.1,20.47,01a59488o0895o
59488.640442,20.832,1.125,17,19,o,0,1.37,74.18359,-16.64878,1397.44,6965.6,3.13,2.94,-45.4,-0.434,18.92,20.11,01a59488o0931o
59488.642287,19.755,0.574,46,26,o,0,1.33,74.18359,-16.64878,1380.33,7082.2,3.38,3.14,-52.5,-0.455,18.68,19.85,01a59488o0935o
59489.518942,19.157,0.176,79,14,o,0,1.42,74.18359,-16.64878,5619.27,7180.73,2.67,1.93,36.7,-0.408,19.37,20.51,02a59489o0683o
59489.523102,20.06,0.379,34,13,o,0,1.77,74.18359,-16.64878,5640.13,7219.47,2.59,1.95,34.2,-0.413,19.4,20.49,02a59489o0692o
59489.529973,20.205,0.423,30,13,o,0,1.47,74.18359,-16.64878,5582.66,7141.61,2.54,1.9,34.6,-0.415,19.43,20.48,02a59489o0707o
59489.540065,20.032,0.362,35,13,o,0,2.55,74.18359,-16.64878,5562.99,7257.24,2.61,1.92,33.8,-0.412,19.43,20.49,02a59489o0729o
59491.552531,20.366,0.548,26,14,o,0,1.58,74.18359,-16.64878,9115.86,3599.32,2.78,2.71,-49.0,-0.484,19.17,20.46,01a59491o0750o
59491.555298,20.953,1.127,15,17,o,0,1.28,74.18359,-16.64878,9095.94,3561.15,2.76,2.67,-55.5,-0.489,19.21,20.51,01a59491o0756o
59491.562578,19.389,0.24,64,15,o,0,1.36,74.18359,-16.64878,9156.42,3635.12,2.78,2.7,-42.0,-0.479,19.28,20.64,01a59491o0771o
59491.573197,19.449,0.276,60,17,o,0,1.4,74.18359,-16.64878,9176.19,3518.34,2.78,2.58,-61.2,-0.512,19.33,20.71,01a59491o0794o
59493.557797,19.198,0.14,76,11,o,0,5.31,74.18359,-16.64878,1449.96,477.7,1.89,1.8,89.2,-0.471,19.62,20.88,02a59493o0789o
59493.560541,18.938,0.104,97,10,o,0,7.16,74.18359,-16.64878,1469.78,515.82,1.85,1.76,81.9,-0.479,19.59,20.88,02a59493o0795o
59493.57048,19.065,0.123,86,10,o,0,6.34,74.18359,-16.64878,1410.13,439.19,1.9,1.78,84.6,-0.474,19.64,20.9,02a59493o0816o
59493.573223,18.87,0.113,103,12,o,0,3.89,74.18359,-16.64878,1390.35,557.64,1.97,1.81,-72.8,-0.479,19.62,20.87,02a59493o0822o
59495.436966,-16.441,0.043,-963,42,o,0,210.27,74.18359,-16.64878,9100.12,3606.04,3.79,3.68,-79.8,-0.39,17.87,19.22,01a59495o0531o
59495.463762,23.22,23.667,2,44,o,0,1.16,74.18359,-16.64878,9088.73,3563.71,4.24,3.84,60.0,-0.356,17.99,19.59,01a59495o0588o
59495.4744,18.521,0.199,142,28,o,0,1.76,74.18359,-16.64878,9146.91,3640.54,3.45,3.32,-53.9,-0.407,18.41,19.74,01a59495o0611o
59495.48088,-18.029,0.935,-223,209,o,0,0.82,74.18359,-16.64878,9167.4,3523.7,3.34,3.26,-15.1,-0.403,16.39,17.68,01a59495o0625o
59498.527244,18.569,0.103,136,14,o,0,2.01,74.18359,-16.64878,3455.5,8732.81,2.07,1.95,14.2,-0.425,19.55,20.74,02a59498o0539o
59498.53047,18.665,0.106,124,13,o,0,3.66,74.18359,-16.64878,3474.86,8771.7,2.02,1.93,17.8,-0.428,19.51,20.73,02a59498o0546o
59498.536072,18.492,0.081,146,12,o,0,2.44,74.18359,-16.64878,3415.63,8693.83,2.05,1.91,14.5,-0.423,19.56,20.79,02a59498o0558o
59498.545647,18.361,0.079,164,13,o,0,2.18,74.18359,-16.64878,3394.97,8809.71,2.02,1.94,18.9,-0.428,19.51,20.77,02a59498o0578o
59499.459318,20.366,1.783,26,46,o,0,1.27,74.18359,-16.64878,1002.2,3594.43,4.15,4.0,20.0,-0.342,17.47,19.1,01a59499o0278o
59500.483884,18.608,0.122,131,16,o,0,1.44,74.18359,-16.64878,995.47,3632.28,2.92,2.68,-47.6,-0.502,19.18,20.48,01a59500o0374o
59500.487106,18.811,0.161,108,18,o,0,1.39,74.18359,-16.64878,976.22,3593.91,2.93,2.65,-53.0,-0.511,19.19,20.5,01a59500o0381o
59500.491714,18.52,0.113,142,16,o,0,1.97,74.18359,-16.64878,1035.98,3670.9,2.91,2.64,-51.3,-0.506,19.23,20.48,01a59500o0391o
59500.496782,18.62,0.138,129,18,o,0,1.76,74.18359,-16.64878,1053.24,3554.37,2.84,2.61,-50.4,-0.517,19.21,20.48,01a59500o0402o
59501.552489,18.44,0.073,153,11,o,0,3.83,74.18359,-16.64878,3456.46,8727.74,2.05,1.89,33.1,-0.419,19.47,20.6,02a59501o0777o
59501.555285,18.405,0.083,158,13,o,0,3.68,74.18359,-16.64878,3474.27,8770.07,2.21,1.92,30.0,-0.405,19.46,20.59,02a59501o0783o
59501.558527,18.241,0.075,184,14,o,0,2.43,74.18359,-16.64878,3416.98,8692.2,2.11,1.91,28.2,-0.414,19.44,20.54,02a59501o0790o
59501.565401,18.515,0.097,143,14,o,0,2.51,74.18359,-16.64878,3398.15,8806.73,2.0,1.87,26.9,-0.429,19.47,20.55,02a59501o0805o
59503.487627,18.228,0.102,186,19,o,0,1.53,74.18359,-16.64878,1029.66,3632.05,2.93,2.68,-50.0,-0.515,19.0,20.09,01a59503o0613o
59503.489468,18.584,0.169,134,23,o,0,0.86,74.18359,-16.64878,1010.07,3593.17,2.94,2.65,-47.0,-0.522,18.98,20.09,01a59503o0617o
59503.493152,18.407,0.114,158,18,o,0,1.71,74.18359,-16.64878,1069.92,3670.8,2.83,2.77,-36.1,-0.498,18.97,20.12,01a59503o0625o
59503.498676,18.352,0.112,166,19,o,0,1.52,74.18359,-16.64878,1087.73,3554.32,3.0,2.79,-44.1,-0.503,18.98,20.12,01a59503o0637o
59505.47003,18.253,0.149,182,27,o,0,2.31,74.18359,-16.64878,3444.92,8730.95,2.13,1.96,33.1,-0.408,18.8,19.31,02a59505o0613o
59505.475564,18.607,0.188,131,25,o,0,2.74,74.18359,-16.64878,3465.68,8768.89,2.19,1.99,26.0,-0.409,18.81,19.3,02a59505o0625o
59505.477402,18.393,0.193,160,31,o,0,1.13,74.18359,-16.64878,3406.11,8691.93,2.29,1.98,32.8,-0.393,18.72,19.3,02a59505o0629o
59505.490251,18.502,0.201,144,29,o,0,1.62,74.18359,-16.64878,3387.8,8807.83,2.15,1.94,27.3,-0.414,18.75,19.14,02a59505o0657o
59506.497625,18.768,0.187,113,21,o,0,1.85,74.18359,-16.64878,1552.99,2430.23,1.93,1.91,15.1,-0.457,18.83,19.2,02a59506o0672o
59506.499952,18.551,0.124,138,17,o,0,2.1,74.18359,-16.64878,1572.46,2468.98,1.89,1.85,11.8,-0.465,18.86,19.21,02a59506o0677o
59506.50271,18.492,0.169,146,25,o,0,1.04,74.18359,-16.64878,1513.38,2391.08,1.9,1.88,-50.2,-0.464,18.84,19.22,02a59506o0683o
59506.509123,18.401,0.162,158,26,o,0,0.94,74.18359,-16.64878,1493.52,2507.12,1.92,1.88,-48.3,-0.46,18.84,19.19,02a59506o0697o
59508.444914,18.31,0.226,172,39,o,0,1.0,74.18359,-16.64878,2804.56,1585.79,3.0,2.91,-55.3,-0.48,18.15,18.74,01a59508o0564o
59508.450022,18.334,0.22,168,37,o,0,1.37,74.18359,-16.64878,2785.11,1543.88,3.02,2.86,-58.2,-0.472,18.23,18.77,01a59508o0574o
59508.455554,18.682,0.285,122,35,o,0,1.49,74.18359,-16.64878,2843.13,1622.81,3.09,3.01,-64.5,-0.466,18.23,18.81,01a59508o0586o
59508.462947,18.988,0.437,92,40,o,0,1.06,74.18359,-16.64878,2860.32,1506.34,2.94,2.83,-44.5,-0.488,18.27,18.83,01a59508o0602o
59509.51465,19.011,0.341,90,31,o,0,1.14,74.18359,-16.64878,1555.05,2430.56,2.62,2.53,25.1,-0.405,18.42,19.01,02a59509o0718o
59509.517849,18.383,0.151,161,24,o,0,1.81,74.18359,-16.64878,1575.44,2468.98,2.38,2.31,38.8,-0.461,18.41,19.02,02a59509o0725o
59509.522423,19.06,0.281,86,24,o,0,1.4,74.18359,-16.64878,1516.89,2390.89,2.37,2.26,28.9,-0.425,18.59,19.03,02a59509o0735o
59509.533805,19.062,0.28,86,24,o,0,1.19,74.18359,-16.64878,1497.55,2509.66,2.4,2.37,35.2,-0.426,18.57,19.07,02a59509o0759o
59510.466724,19.258,0.328,72,24,o,0,2.02,74.18359,-16.64878,1557.03,2432.18,2.12,2.02,32.1,-0.449,18.66,18.99,02a59510o0615o
59510.470441,18.788,0.232,111,26,o,0,0.94,74.18359,-16.64878,1576.27,2470.06,2.25,2.12,28.1,-0.444,18.55,19.01,02a59510o0623o
59510.4741,18.752,0.218,115,25,o,0,1.23,74.18359,-16.64878,1516.62,2392.14,2.17,2.09,25.1,-0.455,18.63,19.03,02a59510o0631o
59510.501792,18.797,0.202,110,22,o,0,1.4,74.18359,-16.64878,1494.37,2506.97,2.11,2.05,12.8,-0.455,18.74,19.12,02a59510o0688o
59511.394975,19.439,0.711,61,43,o,0,0.84,74.18359,-16.64878,2808.37,1585.95,3.09,2.89,-55.1,-0.487,18.19,18.7,01a59511o0457o
59511.396686,-20.788,1.905,-18,34,o,0,1.28,74.18359,-16.64878,2789.19,1547.27,2.82,2.78,62.0,-0.476,18.24,18.73,01a59511o0460o
59511.432161,19.819,0.861,43,37,o,0,1.4,74.18359,-16.64878,2847.78,1621.11,2.88,2.82,-68.9,-0.477,18.14,18.73,01a59511o0536o
59511.442789,20.693,5.429,19,104,o,0,1.16,74.18359,-16.64878,2864.03,1504.53,2.79,2.69,-55.4,-0.513,17.34,17.44,01a59511o0559o
59513.518241,18.614,0.13,130,17,o,0,1.61,74.18359,-16.64878,1555.4,2428.27,2.05,1.98,43.6,-0.449,19.25,20.01,02a59513o0722o
59513.520527,18.702,0.126,120,15,o,0,1.8,74.18359,-16.64878,1574.66,2467.32,2.03,1.88,32.7,-0.452,19.25,20.0,02a59513o0727o
59513.523268,18.715,0.113,118,13,o,0,2.14,74.18359,-16.64878,1515.77,2389.92,1.98,1.95,-5.1,-0.455,19.28,20.0,02a59513o0733o
59513.531077,19.188,0.205,77,16,o,0,2.04,74.18359,-16.64878,1496.68,2507.74,2.01,1.96,20.8,-0.453,19.26,20.0,02a59513o0750o
59515.479568,19.374,0.346,65,22,o,0,1.18,74.18359,-16.64878,4610.61,5921.13,2.71,2.68,-6.4,-0.462,18.85,19.9,01a59515o0645o
59515.481413,18.799,0.185,110,20,o,0,1.23,74.18359,-16.64878,4590.57,5881.98,2.8,2.71,20.1,-0.452,18.87,19.99,01a59515o0649o
59515.504482,19.057,0.175,86,15,o,0,1.31,74.18359,-16.64878,4651.65,5950.62,2.78,2.73,4.5,-0.453,19.12,20.36,01a59515o0698o
